,REMOVAL,ALTERATION,ADDITION,intact,total m1
reaction_role,2797 (5.18%),2978 (5.51%),1264 (2.34%),48262 (89.31%),54037 (100.00%)
REACTION_WORKUP,8360 (4.39%),3156 (1.66%),10189 (5.36%),178733 (93.95%),190249 (100.00%)
identifiers,5490 (5.08%),1566 (1.45%),2590 (2.40%),100958 (93.47%),108014 (100.00%)
REACTION_CONDITIONS,298 (1.09%),176 (0.65%),391 (1.43%),26782 (98.26%),27256 (100.00%)
other,5261 (14.03%),439 (1.17%),2240 (5.97%),31794 (84.80%),37494 (100.00%)
amount,3434 (4.41%),300 (0.38%),2182 (2.80%),74209 (95.21%),77943 (100.00%)
