,ADDITION,REMOVAL,ALTERATION,intact,total m1
REACTION_CONDITIONS,0 (0.00%),1128 (100.00%),0 (0.00%),0 (0.00%),1128 (100.00%)
identifiers,460 (10.51%),696 (15.90%),407 (9.30%),3273 (74.79%),4376 (100.00%)
reaction_role,217 (9.90%),488 (22.25%),259 (11.81%),1446 (65.94%),2193 (100.00%)
amount,427 (13.42%),567 (17.82%),45 (1.41%),2570 (80.77%),3182 (100.00%)
other,161 (11.23%),785 (54.74%),17 (1.19%),632 (44.07%),1434 (100.00%)
REACTION_WORKUP,0 (0.00%),7841 (100.00%),0 (0.00%),0 (0.00%),7841 (100.00%)
