,REMOVAL,ALTERATION,intact,ADDITION,total m1
reaction_role,2981 (5.53%),3172 (5.88%),47799 (88.60%),1493 (2.77%),53952 (100.00%)
REACTION_CONDITIONS,349 (1.28%),221 (0.81%),26662 (97.91%),479 (1.76%),27232 (100.00%)
amount,3795 (4.88%),381 (0.49%),73649 (94.63%),2511 (3.23%),77825 (100.00%)
identifiers,5538 (5.01%),3258 (2.94%),101850 (92.05%),2580 (2.33%),110646 (100.00%)
other,3546 (7.79%),3814 (8.37%),38184 (83.84%),4147 (9.11%),45544 (100.00%)
REACTION_WORKUP,9579 (5.04%),3577 (1.88%),176877 (93.08%),11024 (5.80%),190033 (100.00%)
